kontl,kontol
48g,empat puluh delapan gram
48km,empat puluh delapan kilometer
4bdurrahman,abdurrahman
4d,empat dimensi
4jam,empat jam
4minute,empat menit
4nieslayakdimakzulkan,anies layak dimakzulkan
4tahun,empat tahun
4x,empat kali
500an,lima ratusan
50rb,lima puluh ribu
515ukm4w4t1,si sukmawati
53thgolkar,lima puluh tiga tahun golkar
5in1,five in one
5katauntukhariini,lima kata untuk hari ini
5oekarno,soekarno
5th,lima tahun
5x,lima kali
65kg,enam puluh lima kilogram
6ambang,bambang
6line,enam garis
6t,enam triliun
75jt,tujuh puluh lima juta
7oko,toko
7th,tujuh tahun
80an,delapan puluhan
80kg,delapan puluh kilogram
8an,delapanan
8angsat,bangsat
93tahun,sembilan puluh tiga tahun
97miliar,sembilan puluh tujuh miliar
9harilagicoblosprabowosandi,9 hari lagi coblos prabowo sandi
9harilagigantipresiden,9 hari lagi ganti presiden
9th,sembilan tahun
ā maroko,maroko
aa,kakak
aaa,ah
aaaa,ah
aaaaa,ah
aaaaaa,ah
aaaaaaa,ah
aaaaaaaa,ah
aaaaaaaaa,ah
aaaaaaaaaaa,ah
aaaaaaaaaah,ah
aaaaaaakkk,ah
aaaaahhhh,ah
aaaaannnnnjjjiiiiinngggg,anjing
aaaaaw,ah
aaaah,ah
aaaahhhhh,ah
aaaakuuu,aku
Aaaamiiiiiiinnnn,aamiin
aaaammmiiiinnnn,aamiin
aaah,ah
aaahh,ah
aaahhhh,ah
aaamiinn,aamiin
aaamin,aamiin
aaarrggghhhh,ah
aadren,adren
aaghr,ah
aagym,abdullah gymnastiar
aah,ah
aahh,ah
aahhh,ah
aakuu,aku
aama,sama
aamien,aamiin
aamiiin,aamiin
aamiinin,aamiin
aamiinn,aamiin
aamiinnn,aamiin
aamin,aamiin
aaminn,aamiin
aammiin,aamiin
aanjing,anjing
aarrgghh,ah
aarti,arti
aashshskskfhdh,ah
abah,bapak
abal2,abal abal
abang2,abang abang
abanggg,abang
abanggku,abangku
abaout,about
abc24,abc 24
abcnews,abc news
abd,abdi
abeees,habis
abes,habis
abez,habis
abg,anak baru besar
abgbugil,anak baru besar bugil
abghot,anak baru besar hot
abgmesum,anak baru besar mesum
abgnya,abangnya
abgnyaah,abangnya
abgsange,anak baru besar sange
abiez,habis
abiez,habis
abis,habis
abis2,habis habis
abisan,habisnya
abisin,habiskan
abisnya,habisnya
abiss,habis
abisss,habis
abissss,habis
abiz,habis
abizz,habis
abizzz,habis
abizzzz,habis
abritase,arbitrase
abs,habis
abt,about
abt,about
abu2,abu abu
abubakar,abu bakar
abut,abud
acaraā bakal,acaranya akan
acau,kacau
acc,akun
accidentally,accidentaly
accne,acne
accny,akunnya
achh,ah
achok,ahok
acra,acara
activies,activist
actually,actualy
acut,akut
ad,ada
ada2,ada ada
adaa,ada
adaaa,ada
adadikompas,ada di kompas
adafildankamibegadang,ada fil dan kamil begadang
adain,adakan
adala,adalah
adalnya,asalnya
adaloh,ada loh
adapin,menghadapi
adatgorontalo,adat gorontalo
adatnye,adatnya
adatuh,ada itu
addmath,add math
ade,adik
ade,adik
adeeek,adik
adek,adik
adek2,adik adik
adekku,adik aku
adekx,adiknya
ademm,adem
adengan,adegan
adenya,adiknya
adeuh,aduh
adeuhh,aduh
adh,aduh
adih,aduh
adiik,adik
adik2,adik adik
adikkuuuuu,adik aku
adilan,keadilan
adkah,adakah
adl,adalah
adlah,adalah
adlh,adalah
admisstration,administration
ado,ada
adohh,aduh
adolexcent,remaja
adren,adrenal
ads,iklan
aduhh,aduh
aduhhh,aduh
aduhhhhhhhhh,aduh
aduuh,aduh
aduuhh,aduh
aduuhhh,aduh
adyem,adem
adzab,azab
adzan,azan
adzanin,azankan
adzim,azim
ae,saja
aedhito,ardhito
aee,saja
aelaah,alah
aelah,alah
aelien1stmensive,alien first mensive
aer,air
af,as fuck
af,as fuck
afdol,afdal
affu19indosiar,aff under 19 indosiar
afternya,setelahnya
againnnnn,again
agaknya,sepertinya
agalanya,segalanya
agama2,agama agama
agamaā,agamanya
agamaataualqur,agama atau alquran
agamany,agamanya
agamax,agamanya
agan2,agan agan
agentbettingonline,agent betting online
agentjuditerbesar,agent judi terbesar
aggaran,anggaran
agh,ah
aghh,ah
agiah,ah
agk,agak
agkya,agaknya
agkya3,agaknya
agm,agama
agma,agama
agnostic,agnostik
agung2in,agung agungkan
agunh,agung
ahaha,haha
ahahah,haha
ahahaha,haha
ahahahah,haha
ahahahaha,haha
ahahahaha,haha
ahahahahaha,haha
ahahahahahaha,haha
ahahahahahjahahahahahahahahhahahahahaha,haha
ahahahahhaha,haha
ahahahanjirrr,anjir
ahai,ah
ahehehehe,hehe
ahelah,alah
aheruntukindonesia,aher untuk indonesia
aheryawan,ahmad heryawan
ahh,ah
ahhā,aha
ahhahahha,haha
ahhh,ah
ahhhh,ah
ahhhhhh,ah
ahhhhhhhhh,ah
ahir,akhir
ahirnya,akhirnya
ahk,ahok
ahli2,para ahli
ahlikul,akhlak
ahlu,ah kamu
ahlussunah,ahlusunah
ahlussunnah,ahlusunah
ahlusunnah,ahlusunah
ahmaddani,ahmad dhani
aho,ahok
ahoak,ahok
ahoax,ahok
ahoaxx,ahok
ahog,ahok
ahogers,ahoker
ahokataudjarot,ahok djarot
ahokbebanijokowi,ahok beban jokowi
ahokbtp,ahok basuki tjahaja purnama
ahokditolakwarga,ahok ditolak warga
ahokdjarot,ahok djarot
ahokdjarotterbukti,ahok djarot terbukti
ahokers,ahoker
ahokfighter,ahok pejuang
ahokforpresident,ahok for presiden
ahokisthebest,ahok terbaik
ahokjarot,ahok djarot
ahokk,ahok
ahoklovers,ahok lovers
ahokmasukbui,ahok masuk bui
ahokmeskipun,ahok meskipun
ahokpastitumbang,ahok pasti tumbang
ahokpecahbelahbangsa,ahok pecah belah bangsa
ahokpositifjadi,ahok positif jadi
ahoksatuputaran,ahok satu putaran
ahoksemangat,ahok semangat
ahoktersangka,ahok tersangka
ahokterzhalimi,ahok terzalimi
ahoktetap,ahok tetap
ahoktidaksendiri,ahok tidak sendiri
ahoktoday,ahok today
ahokUSER,ahok
ahook,ahok
ahoq,ahok
ahox,ahok
ahsudalah,ah sudahlah
ahy,agus harimurti yudhoyono
aiish,aduh
aing,aku
aingpersibaingpolitik,aku persib saya politik
aipet,ipad
airmata,air mata
aish,aduh
aiskrim,es krim
aj,saja
aja,saja
ajaa,saja
ajaaa,saja
ajaaahhhhh,saja
ajach,saja
ajadeh,saja deh
ajah,saja
ajahhh,saja
ajaibb,ajaib
ajak2,ajak ajak
ajakalah,ajaklah
ajakin,ajak
ajalah,sajalah
ajaran2,ajaran ajaran
ajarin,ajarkan
aje,saja
ajeeb,ajib
ajg,anjing
ajgg,anjing
ajggggggggg,anjing
ajh,saja
ajha,saja
ajhakabahajha,haha
ajhh,saja
ajib,hebat
ajibb,keren
ajig,anjing
ajj,saja
ajja,saja
ajjh,saja
ajshajhs,ah
ajsjsjsjaja,ah
ajusshi,ahjussi
ak,aku
akak,kakak
akalakalan,akal akalan
akalakaln,akal akalan
akalsehatputihkangbk,akal sehat putihkan gelora bung karno
akankena,akan kena
akaun,akun
akbp,ajun komisaris besar polisi
akdjsjd,ah
akdkskksjsjsjs,ah
akeh,banyak
akhen,aksen
akherat,akhirat
akhi,saudara
akhinya,akhirnya
akhir2,akhir akhir
akhira,akhir
akhirny,akhirnya
akhirnyamilihjokowi,akhirnya memilih jokowi
akhirnyamush,akhirnya musuh
akhirt,akhirat
akhirx,akhirnya
akhlah,akhlak
akhrt,akhirat
aki2,kakek kakek
akirnya,akhirnya
akk,administrasi kebijakan kesehatan
akn,akan
akoh,aku
akiaki, tua sekali
akp,ajun komisaris polisi
akrg,sekarang
aksi2,aksi aksi
aksi299,aksi 299
aksi313jokowitakutlengser,aksi 313 jokowi takut lengser
aksiaksi1120aksi112020aksi1120,aksi aksi
aksibelaislan,aksi bela islam
aksimaksa,aksi maksa
aksinaga299,aksi naga 299
aktifis,aktivis
aktifitas,aktivitas
aktingny,aktingnya
aktivisi,aktivis
aktivitasjokowi,aktivitas jokowi
akuh,aku
akuhh,aku
akui,mengakui
akuin,mengakui
akumaupresidenbaru,aku mau presiden baru
akumuslim,aku muslim
akun2,akun akun
akur2,akur akur
akurr,akur
akuseorangpendosa,aku seorang pendosa
akuseruji,aku seruji
akusisi,akuisisi
akutansi,akuntansi
akutu,aku itu
akutuh,aku itu
akuu,aku
akuuu,aku
akuwa,aqua
ala2,ala ala
alaa,alah
alaā,alah
alaaa,alah
alaaaa,alah
alaaaah,alah
alaaaahhhhh,alah
alaah,alah
alaahh,alah
alaami,alami
alahuakbar,allahu akbar
alaikm,alaykum
alalala,ala ala
alallohu,alallahu
alambanten,alam banten
alamii,alami
alamiii,alami
alamiyah,alamiah
alamsekitar,alam sekitar
alang2,alang alang
alasan2,alasan alasan
alasanbikinaksi,alasan buat aksi
alasannyaā,alasannya
alayy,alay
albanna,al banna
aleksis,alexis
alemanā,alemannya
alesan,alasan
alesane,alasannya
alesanya,alasannya
alfaatihah,al fatihah
alfathih,al fatih
alfatihah,al fatihah
alhabib,al habib
alhamd,alhamdulillah
alhamdulilah,alhamdulillah
alhamdulillaaaaah,alhamdulillah
alhamdulillaah,alhamdulillah
alhamdulillahongkos,alhamdulillah ongkos
alhamdullilah,alhamdulillah
alhasil,hasilnya
alhmdllh,alhamdulillah
alhmdulillah,alhamdulillah
aliā,alia
aliby,alibi
aline,alinea
alissnyaa,alisnya
alitinjuisawanker,ali tinju is a wanker
aljufri,al jufri
alkafirun,al kafirun
alkhamdulilah,alhamdulillah
allaah,allah
allaahh,allah
allahakbar,allahu akbar
allahh,allah
allahhhhhhh,allah
allahuakbar,allahu akbar
allahuakhbar,allahu akbar
allahughayatuna,allahu ghayatuna
allahummagfirli,allahummaghfirli
allahyarham,allah ya rahman
alllll,all
alloh,allah
allohu,allahu
allooowwww,halo
allooww,halo
allotheraseansagreed,all other asean agreed
alm,almarhum
almaidah,al maidah
almaidah51,al maidah 51
almh,almarhumah
almusawa,al musawa
aloh,allah
alohmubarbar,allahmu barbar
alon,pelan
alqaeda,al qaeda
alqt,alat
alqur,alquran
alrdy,already
alterjogja,alter jogja
altho,although
alumi,alumni
alumni212,alumni 212
alus,halus
alutsista,alat utama sistem pertahanan
ama,sama
amaattt,amat
amaca,ah masa
amad,amat
amajing,luar biasa
amak,ibu
aman2,aman aman
amaroso,amoroso
amateur,amatir
amatin,amati
amatt,amat
amberheardisanabuser,amber heard dis an abuser
ambik,ambil
ambil2,ambil ambil
ambilah,ambil lah
ambilin,ambilkan
ambis,ambisius
ambisional,berambisi
ambisitercapai,ambisi tercapai
ambivient,ambient
amblass,amblas
ambleg,amblek
ambsador,ambasador
ambulan,ambulans
amcaman,ancaman
ameen,aamiin
amek,ambek
amen,aamiin
amerikkkans,american
ametsi,amat sih
amfun,ampun
amhp,abdullah makhmud hendropriyono
amiiiiiiiiiiiiiiiiin,aamiin
amiiiiiiiiiiin,aamiin
amiiiiiiiiiinnnnnnn,aamiin
amiiiiin,aamiin
amiiiiinnn,aamiin
amiiiiinnnnn,aamiin
amiiiin,aamiin
amiiin,aamiin
amiiinn,aamiin
amiiinnn,aamiin
amiiinnnn,aamiin
amiin,aamiin
amiinn,aamiin
amiinnn,aamiin
amiinnnn,aamiin
amin2,aamiin aamiin
aminin,aamiinkan
aminn,aamiin
aminn2,aamiin aamiin
aminnn,aamiin
aminnnn,aamiin
aminnnn2,aamiin aamiin
aminnnnn,aamiin
amiss,amis
amit2,amit amit
amit2,amit amit
amitamit,amit amit
ammiiin,aamiin
ammin,aamiin
amohhh,kamu
ampe,sampai
ampe,sampai
amploppp,amplop
ampunn,ampun
ampunnnn,ampun
ampunnnnn,ampun
ampuun,ampun
ampuunn,ampun
ampuuunn,ampun
ampuuuun,ampun
ampyuunn,ampun
ampyuuunnn,ampun
amric,amerika
amrik,amerika
amriki,amerika
amstir,amatir
amsyong,apes
amu,kamu
amuh,kamu
ana,aku
anak2,anak anak
anak2e,anak anaknya
anak2ku,anak anak ku
anak2mu,anak anakmu
anak2nya,anak anaknya
anakk,anak
anakkampung,anak kampung
anakku,anakku
anakny,anaknya
anakonda,anaconda
anakx,anaknya
analisa,analisis
analisaku,analisisku
anbiarkekinian,biar kekinian
ancem2an,ancam ancaman
ancen,memang
ancok,jancuk
ancoor,hancur
ancor,hancur
ancur,hancur
ancur2,hancur hancur
ancuran,hancuran
ancurin,hancurkan
ancurrr,hancur
ancuur,hancur
anda,kamu
andaa,kamu
andaā,kamu
andalin,andalkan
andestoamazon,andes to amazon
ane,aku
aned,banget
anedh,banget
aneed,banget
aneh2,aneh aneh
anehdidunia,aneh di dunia
aneuk,anak
aneut,banget
anfhdkfdla,ah
angan2,angan angan
angeljogja,angel jogja
anget,hangat
anget2,hangat hangat
angetin,hangatkan
angeus,selesai
anggep,anggap
anggota2,anggota anggota
anggotadpr,anggota dewan perwakilan rakyat
anggotany,anggotanya
angkatan45,angkatan 1945
angkatan66,angkatan 1966
angkatan98,angkatan 1998
angkot,angkutan kota
angkrem,mengerami
angktpn,angkatpun
angst,bangsat
aniesbaswedanthedevil,anies baswedan the devil
aniespresiden2019,anies presiden 2019
aniessndi,anies sandi
anime2,anime anime
anismatta,anis matta
anj,anjing
anj,anjing
anja,anjay
anjaay,anjay
anjaayy,anjir
anjay,anjir
anjeeeeng,anjing
anjeeng,anjing
anjeng,anjing
anjenk,anjing
anjer,anjir
anjg,anjing
anjiiiiiing,anjing
anjiiiing,anjing
anjiing,anjing
anjiinngg,anjing
anjiir,anjir
anjiirr,anjir
anjing2,anjing anjing
anjing2,anjing anjing
anjing2in,anjing anjingi
anjinganjsisngssh,anjing
anjingg,anjing
anjinggg,anjing
anjingggg,anjing
anjingggggg,anjing
anjinggh,anjing
anjingnyaa,anjingnya
anjink,anjing
anjinxx,anjing
anjiritt,anjir
anjirittt,anjir
anjirr,anjir
anjirrr,anjir
anjirrrr,anjir
anjirrrrr,anjir
anjng,anjing
anjr,anjir
anjrit,anjir
anjur,anjir
anjy,anjir
anjync,anjing
anjyng,anjing
anjyr,anjir
ank,anak
ank2,anak anak
ank2nya,anak anaknya
ankmandai,anak mandai
anknya,anaknya
ankx,anaknya
anlisa,analisis
anniv,anniversary
anomaly,anomali
anonim,anonymous
anonimus,anonymous
anshor,ansar
ansor,ansar
answeredi,answer edi
antabur,ancuran tai burung
antarabangsa,antara bangsa
ante,antek
antek2,antek antek
antek2nya,antek anteknya
antekny,anteknya
anterin,antarkan
anthropology,antropologi
anti2ny,anti antinya
antielab,anti elab
antihoax,anti hoaks
antihoax,anti hoax
antijil,anti jaringan islam liberal
antikomunis,anti komunis
antikorupsi,anti korupsi
antinyinyir,anti nyinyir
antisemitic,anti semitic
antisyiah,anti syiah
antiterorisme,anti terorisme
antitesa,antitesis
antoncharliyan,anton charliyan
antr,antar
antraksi,atraksi
antri,antre
antrian,antrean
antum,kalian
anty,anti
anugrah,anugerah
anw,anyway
any1,anyone
anyeng,anjing
anygays,any gays
anyhing,anything
anying,anjing
anyingg,anjing
anzing,anjing
aoa,apa
aok,iya
aj, saja
ap,apa
apa2,apa apa
apa2an,apa apa
apa2an,apa apaan
apa2in,apa apakan
apa2nya,apa apanya
apaa,apa
apaaa,apa
apaaaaa,apa
apaaaaaaaaaan,apaan
apaaan,apaan
apaalahh,apalah
apaandah,apaan deh
apaansi,apa sih
apaapaan,apa apaan
apaapalah,apa sajalah
apaapun,apapun
apadong,apa dong
apah,apa
apain,apakan
apak,apa
apaka,apakah
apakabar,apa kabar
apakabss,apa kabar
apakk,apa
apakkk,apa
apal,hafal
apalag,apalah
apalai,apalagi
apalg,apa lagi
apalgi,apalagi
apamaunya,apa maunya
apamnya,alamnya
apan,apaan
apane,apanya
apankah,kapan kah
apann,apaan
apaoun,apapun
aparat2,aparat aparat
apasalahnya,apa salahnya
apasi,apa sih
apasih,apa sih
apbd,anggaran pendapatan dan belanja daerah
apdet,perbarui
ape,apa
ape2,apa apa
apehal,apa hal
apelancau,ape lancau
apeloapeloapelo,apa kamu apa kamu apa kamu
apenista,penista
aph,apa
apikkkk,bagus
apk,apakah
apkabar,apa kabar
apkah,apakah
apkh,apakah
aplg,apa lagi
aplgi,apa lagi
aplgie,apa lagi
aplikasibordirpayet,aplikasi bordir payet
aplikasiin,mengaplikasikan
aplikasikebayamodifikasi,aplikasi kebaya modifikasi
aplks,aplikasi
aplot,unggah
apo,apa
apose,apa sih
appa,apa
applikasi,aplikasi
appnya,aplikasinyya
appsi,asosiasi pedagang pasar seluruh indonesia
apun,apapun
apus,hapus
apuss,hapus
apussssssssssssss,hapus
apuuu,apu
apz,apa
aq,aku
aq,aku
aqiqah,akikah
aqu,aku
aquh,aku
arab2,arab arab
arab2an,arab araban
arabislam,arab islam
arabworld,arab world
arahbaruindonesia,arah baru indonesia
aras2en,enggan
architechture,architecture
arep,mau
argh,ah
arghh,ah
arghhh,ah
arhh,ah
arhhh,ah
arm12feb2k17,arm 12 februari 2017
aromatics,aromatik
arrgh,ah
arrroo,arrow
arsehole,arse hole
artine,artinya
artinx,artinya
artiny,artinya
artis2,artis artis
artisnyaa,artisnya
artistsoninstagram,artists on instagram
artix,artinya
arulin,pada bermain
arut,larut
asaan,asahan
asalbukanjokowi,asal bukan jokowi
asall,asal
asalll,asal
asbun,asal bunyi
asdep,asisten deputi
asdfghjklsiengskvsvsgsghsbskak,ah
aseanzionis,asean zionis
aseeqq,asyik
aseeqqqq,asyik
asek,asyik
asekk,asyik
asekkk,asyik
aselik,asli
asem,asam
aseng,asing
asep,asap
asesoris,aksesoris
aset2,aset aset
asew,anjing
asf,as fuck
ashar,asar
ashdlsjsl,ah
asheng,asing
ashole,asshole
asholle,asshole
asiangames2018,asian games 2018
asiangameskita,asian games kita
asiapolicy,asia policy
asibg,asing
asiiik,asik
asik,asyik
asik2,asyik asyik
asikkk,asyik
asing2,asing asing
asiyappppp,siap
asjbnjadng,ah
ask,tanya
askd,asked
asliii,asli
asliiii,asli
asline,aslinya
aslinyo,aslinya
asliserunya,asli serunya
asn,aparatur sipil negara
asongan2,asongan asongan
asoy,asyik
assalammualaikum,asalamualaikum
assalamu,asalamualaikum
assalamualaikumalhamdulillahhasil,assalamualaikum alhamdulillah hasil
assalamuallaikum,assalamualaikum
assasin,assassin
assassinations,assassination
asset,aset
assets,aset
assh,ass
assholee,asshole
assholes,asshole
assigment,assignment
assimilate,asimilasi
asstag,astaga
astafirullah,astagfirullah
astagaa,astaga
astagaaa,astaga
astagaaaa,astaga
astagfirllah,astagfirullah
astagfirlloh,astagfirullah
astagfirrullah,astagfirullah
astagfirullh,astagfirullah
astagfiruloh,astagfirullah
astaghfar,astagfirullah
astaghfirullah,astagfirullah
astaghfirullah,astagfirullah
astaghfirullohal,astagfirullahal
astaghfirullohalaziim,astagfirullah
astauviruloh,astagfirullah
astgfrlh,astagfirullah
astgfrullah,astagfirullah
asu,anjing
asuan,asuhan
asuog,anjing
asutolol,anjing tolol
asuu,anjing
asuuu,anjing
asuuuu,anjing
asuuuu,asu
asuuuuu,asu
asuuuuuuuuuuuuu,asu
asw,anjing
asw,anjing
asyek,asyik
asyikk,asyik
asyikkk,asyik
asyikkkkk,asyik
asyikm,asyik
asyikm3nang,asyik menang
asymetric,asimetri
asysyihaa,asysyihaab
atao,atau
atarturk,ataturk
atassan,atasan
atauatau05atauatau0atauatau0,atau
atauatauatau,atau
atauatauatau201atauatau201atauatauatau201atauatau,atau
atauatauatauatau,atau
atauatauatauatauatauatauatauatauatauatau,atau
atauem,atau
atauhr,atau
ataus,atau
ateknya,anteknya
atheis,ateis
atheisdete,ateis mati
atheist,ateis
athies,ateis
ati,hati
ati2,hati hati
atine,hatinya
atit,sakit
atleast,at least
atletic,athletic
atlit,atlet
atmajaya,atma jaya
ato,atau
atongkepoh,atong ingin tahu
atribut2,atribut atribut
ats,atas
attabrani,ath thabrani
attas,atas
atu,satu
atuhh,atuh
atuhhh,atuh
atuhlah,atuh lah
atur2,atur atur
atutt,takut
atuu,satu
atw,atau
au,tau
audicty,audicity
aulyaa,auliya
aurot,aurat
ausi,australia
aussie,australia
autuhh,tidak tahu itu
availjogja,available jogja
awaas,awas
awaass,awas
awaasss,awas
awakarin,awkarin
awakmu,badanmu
awal2,awal awal
aweful,awful
awek,wanita
awek,wanita
awek2,wanita wanita
awhile, a while
awk,awak
awkeren,keren
awl,awal
awm,kamu
awoohhh,allah
awsum,keren
awutawutan,awut awutan
aww,aw
aww,aw
awww,aw
awww,aw
awwww,aw
ay,sayang
aya,ada
ayah,bapak
ayahh,bapak
ayak2,ayak ayak
ayamkampus,ayam kampus
ayang,sayang
ayank,sayang
ayat2,ayat ayat
aye,aku
ayoh,ayo
ayohbangsa,ayo bangsa
ayoindonesia,ayo indonesia
ayoindonesiabisa,ayo indonesia bisa
ayok,ayo
ayokedamraman,ayo ke dam raman
ayokefestivalpesonabunaken,ayo ke festival pesona bunaken
ayoklaa,ayolah
ayoo,ayo
ayoo,ayo indonesia bisa
ayooo,ayo
ayoook,ayo
ayoookkkkkk,ayo
ayoooo,ayo
ayopenjarakan,ayo penjarakan
ayosavepakahok,ayo lindungi pak ahok
ayuh,ayo
ayuk,ayo
ayukk,ayo
ayutingting,ayu ting ting
ayyub,ayub
aza,saja
azaab,azab
azas,asas
azeeeek,asyik
azhan,azan
aziim,azim
azu,anjing
b2,berdua
b2an,berduaan
b3,bertiga
b4,before
baaaaa,ah
baahahahahahahahahhahah,haha
baaiikkk,baik
baandarjudionlineterpercaya,bandar judi online terpercaya
baang,abang
baanget,banget
baangg,abang
baanggeettt,banget
babangnya,abangnya
babeh,bapak
babget,banget
babihok,babi ahok
babygirls,baby girls
babyy,baby
babyyy,baby
baca2,baca baca
baca2in,bacakan
bacaaaa,baca
bacahalah,bacalah
bacahorror,baca horror
bacain,bacakan
bacakorankaltim,baca koran kalimantan timur
backbitching,back bitching
backbone,back bone
backingin,melindungi
backstage,back stage
backtocampus,back to campus
bacod,bacot
bacotin,bacot
bacotttt,bacot
badaaiii,badai
badaii,badai
badboy,bad boy
badingkan,membandingkan
badjingan,bajingan
badut2,badut badut
baduy,badui
bae,saja
bae2,baik baik
baek,baik
baek2,baik baik
baek2in,baik baiki
bagaatt,banget
bagaiamana,bagaimana
bagaimna,bagaimana
bagaimnpun,bagaimana
baget,banget
baggona,begitu
bagi2,bagi bagi
bagia,bagian
bagian2,bagian bagian
bagiii,bagi
bagiin,bagikan
bagimane,bagaimana
bagmna,bagaimana
bagus2,bagus bagus
bagusnyeee,bagusnya
baguss,bagus
bagusss,bagus
bagussss,bagus
baguusss,bagus
baguuus,bagus
baguuuuus,bagus
bahaha,haha
bahalul,bahlul
bahanakan,kumandangkan
bahancoli,bahan coli
bahas2,bahas bahas
bahasaambon,bahasa ambon
bahawa,bahwa
bahay,bahaya
bahkn,bahkan
bahong,bohong
bahtiar,bachtiar
bahwasa,bahwasanya
bahwasannya,bahwasanya
baidab,biadab
baik2,baik baik
baik2nya,baik baiknya
baikk,baik
baikxa,baiknya
baiq,baik
bajad,bejat
bajaktanah,bajak tanah
bajay,bajaj
bajet,budget
bajiangan,bajingan
baju2,baju baju
bajua,bajunya
bakalan,akan
bakar2,bakar bakar
bakar2in,bakar bakari
bakaum,bakau
baktang,batang
balaikota,balai kota
balatak,kotor
bales,balas
bales,balas
bales2an,balas balasan
bales2in,membalas
balesin,balaskan
